rock_out,featset,hidden,act,alpha,inner_mape
r1,md_zeta9,"(8,)",tanh,0.5,29.49346044339765
r1,md_zeta9,"(8,)",tanh,1.0,28.69812764318068
r1,md_zeta9,"(8,)",tanh,2.0,27.21105274460417
r1,md_zeta9,"(8,)",tanh,3.0,27.319774978844794
r1,md_zeta9,"(8,)",tanh,5.0,28.855272540709198
r1,md_zeta9,"(8,)",tanh,10.0,34.66892491937117
r1,md_zeta9,"(12,)",tanh,0.5,30.605364129551027
r1,md_zeta9,"(12,)",tanh,1.0,28.950933617584816
r1,md_zeta9,"(12,)",tanh,2.0,27.973450245236755
r1,md_zeta9,"(12,)",tanh,3.0,28.428830992021005
r1,md_zeta9,"(12,)",tanh,5.0,29.010873407904278
r1,md_zeta9,"(12,)",tanh,10.0,34.64440000901493
r1,md_zeta9,"(4, 2)",tanh,0.5,34.22646452558547
r1,md_zeta9,"(4, 2)",tanh,1.0,32.70203250927537
r1,md_zeta9,"(4, 2)",tanh,2.0,29.930911229734903
r1,md_zeta9,"(4, 2)",tanh,3.0,30.445365580499647
r1,md_zeta9,"(4, 2)",tanh,5.0,30.530837545727497
r1,md_zeta9,"(4, 2)",tanh,10.0,33.11619698787249
r1,md_zeta9,"(6, 3)",tanh,0.5,28.82692049197807
r1,md_zeta9,"(6, 3)",tanh,1.0,27.96562427321136
r1,md_zeta9,"(6, 3)",tanh,2.0,27.47661123190371
r1,md_zeta9,"(6, 3)",tanh,3.0,26.49332194308179
r1,md_zeta9,"(6, 3)",tanh,5.0,26.226064138999213
r1,md_zeta9,"(6, 3)",tanh,10.0,31.648445961252957
r1,md_zeta9,"(8, 4)",tanh,0.5,32.30203255407669
r1,md_zeta9,"(8, 4)",tanh,1.0,31.34761475201974
r1,md_zeta9,"(8, 4)",tanh,2.0,27.58187045913932
r1,md_zeta9,"(8, 4)",tanh,3.0,27.025732139987348
r1,md_zeta9,"(8, 4)",tanh,5.0,25.93120029520929
r1,md_zeta9,"(8, 4)",tanh,10.0,32.6174539995923
r1,md_zeta9,"(10, 5)",tanh,0.5,33.5226829308239
r1,md_zeta9,"(10, 5)",tanh,1.0,29.274133305723357
r1,md_zeta9,"(10, 5)",tanh,2.0,28.04512901920124
r1,md_zeta9,"(10, 5)",tanh,3.0,27.196474767659605
r1,md_zeta9,"(10, 5)",tanh,5.0,26.153885334115195
r1,md_zeta9,"(10, 5)",tanh,10.0,31.551610623971897
r1,md_zeta9,"(12, 6)",tanh,0.5,32.09521886828247
r1,md_zeta9,"(12, 6)",tanh,1.0,30.809874228919416
r1,md_zeta9,"(12, 6)",tanh,2.0,29.987608255219254
r1,md_zeta9,"(12, 6)",tanh,3.0,28.91887145075841
r1,md_zeta9,"(12, 6)",tanh,5.0,26.96995282503012
r1,md_zeta9,"(12, 6)",tanh,10.0,31.983540625923226
r1,md_zeta9,"(16, 8)",tanh,0.5,30.868362049768404
r1,md_zeta9,"(16, 8)",tanh,1.0,30.938297387216977
r1,md_zeta9,"(16, 8)",tanh,2.0,28.978568861366124
r1,md_zeta9,"(16, 8)",tanh,3.0,28.80952327480404
r1,md_zeta9,"(16, 8)",tanh,5.0,27.42413676838409
r1,md_zeta9,"(16, 8)",tanh,10.0,31.0883830379728
r1,md_zeta9,"(20, 10)",tanh,0.5,31.415266441974158
r1,md_zeta9,"(20, 10)",tanh,1.0,30.98949097473251
r1,md_zeta9,"(20, 10)",tanh,2.0,29.860214605690626
r1,md_zeta9,"(20, 10)",tanh,3.0,28.233597945028748
r1,md_zeta9,"(20, 10)",tanh,5.0,26.946528545585352
r1,md_zeta9,"(20, 10)",tanh,10.0,31.086625431949237
r1,md_zeta9,"(24, 12)",tanh,0.5,35.37171228061412
r1,md_zeta9,"(24, 12)",tanh,1.0,33.05258846231294
r1,md_zeta9,"(24, 12)",tanh,2.0,30.95624973073905
r1,md_zeta9,"(24, 12)",tanh,3.0,29.18505990627562
r1,md_zeta9,"(24, 12)",tanh,5.0,27.039193592495295
r1,md_zeta9,"(24, 12)",tanh,10.0,31.640540772850635
r1,md_zeta9,"(8, 8)",tanh,0.5,37.413799818164485
r1,md_zeta9,"(8, 8)",tanh,1.0,30.28823694579047
r1,md_zeta9,"(8, 8)",tanh,2.0,31.54909007092517
r1,md_zeta9,"(8, 8)",tanh,3.0,27.95887467359725
r1,md_zeta9,"(8, 8)",tanh,5.0,26.46231264173671
r1,md_zeta9,"(8, 8)",tanh,10.0,30.296284694432853
