rock_out,hidden,act,alpha,inner_mape
r1,"(6, 3)",tanh,3.0,23.32594440547889
r11,"(16, 8, 4)",tanh,5.0,24.285682538370597
r12,"(16, 8, 4)",tanh,5.0,23.772112909707065
r13,"(8, 4, 2)",tanh,3.0,21.93284823435316
r14,"(6, 3)",tanh,5.0,25.528038527422066
r15,"(12, 6, 3)",tanh,5.0,24.96460238427048
r16,"(12,)",tanh,2.0,27.44122275012931
r17,"(24, 12, 6)",tanh,5.0,24.17923492578956
r18,"(16, 8, 4)",tanh,5.0,27.586161881592613
r19,"(8, 4, 2)",tanh,3.0,24.694737989426077
r2,"(8, 4)",tanh,3.0,26.6134277858609
r3,"(8, 4)",tanh,3.0,21.498141800954645
r4,"(4, 2)",tanh,3.0,22.38503436550493
r5,"(12, 6, 3)",tanh,5.0,23.50999931333705
r6,"(16, 8, 4)",tanh,5.0,25.79545767403817
r7,"(24, 12, 6)",tanh,5.0,20.91972993467338
r8,"(16, 8, 4)",tanh,5.0,23.00646616965309
r9,"(4, 2)",tanh,3.0,24.799311701294457
