rock_out,hidden,act,alpha,inner_mape
r1,"(6, 3)",tanh,5.0,37.157350323015486
r11,"(8,)",tanh,5.0,36.07177568876477
r12,"(4, 2)",tanh,3.0,34.33399699890714
r13,"(4, 2)",tanh,3.0,35.17321173587523
r14,"(4, 2)",tanh,5.0,35.89382324151686
r15,"(8,)",tanh,5.0,36.91553751115579
r16,"(4, 2)",tanh,5.0,37.44316732847377
r17,"(12, 6)",tanh,5.0,36.34606678675665
r18,"(16, 8)",tanh,10.0,37.08907018416599
r19,"(12, 6)",tanh,10.0,37.41024334582959
r2,"(8, 4, 2)",tanh,2.0,34.65722643186642
r3,"(6, 3)",tanh,5.0,31.80402568154297
r4,"(24, 12, 6)",tanh,5.0,37.42546856130856
r5,"(16, 8, 4)",tanh,5.0,37.94407620875432
r6,"(6, 3)",tanh,5.0,36.51566400838465
r7,"(16, 8, 4)",tanh,5.0,37.28386570714487
r8,"(20, 10)",tanh,10.0,36.944715966147584
r9,"(4, 2)",tanh,5.0,36.78944562810099
