rock_out,hidden,act,alpha,inner_mape
r1,"(4, 2)",tanh,2.0,24.24773360833713
r11,"(4, 2)",tanh,2.0,22.722635868445277
r12,"(4, 2)",tanh,2.0,23.856908049567544
r13,"(8, 4, 2)",tanh,3.0,23.97729667583984
r14,"(8, 4, 2)",tanh,2.0,23.75589212190928
r15,"(6, 3)",tanh,3.0,24.053182847306704
r16,"(6, 3)",tanh,5.0,25.44191308710483
r17,"(6, 3)",tanh,2.0,22.76703537767827
r18,"(6, 3)",tanh,5.0,26.43044866308363
r19,"(6, 3)",tanh,3.0,23.42536126090148
r2,"(12, 6)",tanh,2.0,26.766990669577115
r3,"(16, 8, 4)",tanh,2.0,22.97657961156535
r4,"(4, 2)",tanh,2.0,21.10387746255112
r5,"(4, 2)",tanh,2.0,21.85931586327127
r6,"(8, 4, 2)",tanh,2.0,24.60531128962632
r7,"(6, 3)",tanh,5.0,24.32521672039024
r8,"(6, 3)",tanh,3.0,25.109340607001062
r9,"(8, 4, 2)",tanh,3.0,25.276773142267427
